,ReviewDate,UserID,NewRating,OldRating,User,Review,ReviewHelpful
0,2023-06-08,18.0,1.0,1.0,Chase-Smith,"Elemental is a very cliche plot of two worlds that love each other but family doesn't. Something we have seen since the 1400's. There is really no reason to go see this film as it has lame characters, bland dialogue, unfunny jokes. And it's just really boring. And just like lightyear, this movie hold nothing to make you care or remember the film. Honestly there really isn't much to say about this film, other than it's proven to see how far pixar has fallen over the years. And it's sad when not 1, not 2, but 3 of there past films have been critical failures. If this isn't a slap in the face and a huge punch to the gut. To get your stuff together and turn this train wreck around.",13.0
1,2023-06-09,15.0,5.0,9.0,xeffy,"""Elemental"" takes you on an incredible journey through a bustling city where people of different elemental backgrounds live side by side. Ember and Wade truly embody the film's central message: that we're more alike than we realize. As Ember, a fiery young woman, and Wade, a laid-back guy, discover their shared humanity, the movie beautifully explores themes of unity, understanding, and the incredible power of connection.The world-building in ""Elemental"" is absolutely stunning. The city itself is a visual feast, with each element having its own distinct architecture and style. From skyscrapers covered in lush greenery to water slides and wind-powered homes, every detail immerses you in this vibrant and enchanting world.The film's portrayal of how the elements interact is both amusing and touching. Whether it's a water-being's sneeze causing grass to sprout or Ember's intense heat affecting others around her, these moments showcase the intricate relationships between the elemental residents. They provide a delightful blend of entertainment and insight into the film's underlying plot.While the hint of romance between Ember and Wade adds an extra layer of intrigue, ""Elemental"" is so much more than just a love story. It delves deep into Ember's personal journey as she navigates the city and tries to form meaningful connections. The character development is strong, and you can't help but cheer for Ember and Wade as they face their challenges and strive to make a positive impact on their community.With its breathtaking visuals, compelling storyline, and heartfelt message, ""Elemental"" is a true cinematic gem. This film will captivate you, make you reflect, and leave you inspired. It's a must-watch. Prepare yourself for a captivating story that reminds us of the incredible strength found in unity and the beauty of finding common ground in a diverse world.",47.0
2,2023-06-10,,,,,,
3,2023-06-11,26.0,5.0,10.0,PrNycTina1091,"I caught a screening of this film at the Tribeca Film Festival and it was so stunning and beautiful - the visuals and the story. It's an adorable, heartfelt family film about the immigrant experience told in a way kids can understand, an animated romantic comedy anyone can enjoy.It's a unique take on a love story as old as time - 2 people from 2 very different worlds meet and suddenly everything changes. They start to see the world from a new perspective, learn about and fall in love with a culture they had never known before. Wade and Ember represent so many people who live in diverse places and are immersed in different cultures.I'm from a mixed family and I grew up in NYC so this film touched my heart in ways I can't adequately articulate. I don't think I've ever seen this kind of story told in a way children can understand - sometimes when 2 people who live in a place where people come from all over the world, you meet someone you never would have met before and you fall in love.I hope people take the time to watch this movie and I can't wait to see what Peter Sohn works on next.",46.0
4,2023-06-12,,,,,,
5,2023-06-13,,,,,,
6,2023-06-14,25.0,5.0,10.0,francborre,"Highly recommended film for children.This animated film is very cute and for the whole family. The story is well structured and the characters are well developed. The music is cute, the animations are high quality, of course the CGI is also high quality, the character design is cute.The film is pleasant to see, I recommend seeing it with the whole family, it's not a heavy film and it flows well. It also has some basic subjects dealt with intelligently, without going overboard. It's not the movie of the year, but it's definitely a cute movie that kids will enjoy, for sure. Very cute, take the kids to see it.",32.0
7,2023-06-15,8.0,4.0,7.0,ajacayen-08856,"Alongside the release of The Flash, I have never been anticipated to watch a movie in theaters again. And with Elemental, it has proven to give me a great time watching it and has, in a way, revived my love for Pixar films.Ember Lumen was easily the best part of the film because of her struggles in controlling her temper. Her inner conflict between chasing your dreams vs. Family has been a repetitive theme shown in Disney classics but this one hits home for me. Even if my parents were not immigrants, I was able to connect with where she and her family are coming from.For a while, Wade Ripple was an annoying character because of him being a soft guy and crying too much - but that's what also made me like him a lot after watching it. Also, he delivers such romantic lines to Ember that did make me feel kilig at those moments.Speaking of kilig, their romance, while at first did not sit well with me on how they sparked, their pairing was so cute and adorable that it's hard for me to not ship them. And in that relationship, Ember learns a lot about trying things out first and understanding people's differences to reach on a common ground which I thought was pulled off really great.In addition to understanding differences, I loved how they featured the sides of fire and water in order to see how the two families of both Ember and Wade react to their romance - and it was also very relatable for those showing their loved one to the family.Of course, the animation should be talked about because what Pixar has done was absolutely great. With how fire, water, air and wind was animated to such perfection, it is without a doubt deserved to be nominated for Best Animated Feature - even if it's not as amazing as Across the Spider-Verse.As for the story, the first act sets up a lot things very quickly which may need second viewing to get used to it. As it progressed towards the second act, Ember's relationship with both her family and Wade was easily the best part. And how the film wrapped up in its final act, while cheesy, I felt for Wade and Ember's relationship by the end and made me feel great watching it.Overall, it felt great watching Elemental and it is indeed one of those movies that if it comes out on Disney+, I am definitely going to check it out. But I still encourage animation lovers to watch this on the big screen because it's the better experience to enjoy this film.",31.0
8,2023-06-16,1.0,3.0,6.0,benjaminskylerhill,"Elemental has several obvious glaring problems. For one thing, the attempt to make the elements' differences an overt metaphor for raceculture is shallow and misplaced at best most of the time.The story's themes and plot itself are about as worn-out and tired as the art of the story itself. Not a single new idea is really explored at this level.And, at the more surface level, the film's visuals vary greatly in quality: the environments are gorgeous, colorful, and vibrant, while the character designs appear haphazard, thrown together, and honestly kind of ugly.But where this film shines-and I mean REALLY shines, surprisingly-is in the writing of its characters.Ember and Wade are instantly distinct, understood, and likeable. They both grow tremendously and at a consistent pace. They are 110% the reason to see this film. I got emotionally wrapped up in their lives and desires in a way that I've only felt in Pixar's best films. This is the sole great achievement of Elemental.The one other thing I can praise is the sound design and the musical score-both of which are largely powerful and memorable.Maybe it's that my expectations were on the floor going into this, but I'd be lying if I said I didn't enjoy it. Maybe wait to catch it on streaming, but don't write it off completely.",35.0
9,2023-06-17,2.0,2.0,3.0,truthisuncouth,This is a worn out story of recycled material that will bore children. The characters are one dimensional. The scenes are tepid and unexciting. The use of elements to convey human emotion is a nice idea but the execution is not good. The animation was okay but not unique. Certainly nothing to go out of your way for. The depth of the character development seems shallow. The musical score is middling. The editing is choppy. The sound mixing is fair. The scene to scene progression is awkward and the run time is longer than one might expect from the material in the movie. My overall impression is that it can be missed.,64.0
10,2023-06-18,5.0,1.0,1.0,kidkamandi,No comment,53.0
11,2023-06-19,6.0,1.0,1.0,pvandaele,No comment,25.0
