,UserID,NewRating,OldRating,User,ReviewDate,Review,ReviewHelpful
0,1,3.0,6.0,benjaminskylerhill,2023-06-16,"Elemental has several obvious glaring problems. For one thing, the attempt to make the elements' differences an overt metaphor for raceculture is shallow and misplaced at best most of the time.The story's themes and plot itself are about as worn-out and tired as the art of the story itself. Not a single new idea is really explored at this level.And, at the more surface level, the film's visuals vary greatly in quality: the environments are gorgeous, colorful, and vibrant, while the character designs appear haphazard, thrown together, and honestly kind of ugly.But where this film shines-and I mean REALLY shines, surprisingly-is in the writing of its characters.Ember and Wade are instantly distinct, understood, and likeable. They both grow tremendously and at a consistent pace. They are 110% the reason to see this film. I got emotionally wrapped up in their lives and desires in a way that I've only felt in Pixar's best films. This is the sole great achievement of Elemental.The one other thing I can praise is the sound design and the musical score-both of which are largely powerful and memorable.Maybe it's that my expectations were on the floor going into this, but I'd be lying if I said I didn't enjoy it. Maybe wait to catch it on streaming, but don't write it off completely.",35
1,2,2.0,3.0,truthisuncouth,2023-06-17,This is a worn out story of recycled material that will bore children. The characters are one dimensional. The scenes are tepid and unexciting. The use of elements to convey human emotion is a nice idea but the execution is not good. The animation was okay but not unique. Certainly nothing to go out of your way for. The depth of the character development seems shallow. The musical score is middling. The editing is choppy. The sound mixing is fair. The scene to scene progression is awkward and the run time is longer than one might expect from the material in the movie. My overall impression is that it can be missed.,64
2,3,2.0,3.0,jamesbond-28264,2023-06-16,"I didn't expect anything from this and i wasn't wrong. Most of the supposed rom-com concepts of the film are not even explored and its mainly used on unfunny jokes and gags that makes the movie feel more like a Illumination film that got mis-branded as a Pixar film. Ember and Wade and most of the characters aren't interesting and they are used for rushed world-building and unfunny character torture jokes, and the ending is the most predictable and generic i ever seen in a animated film. The character design is so ugly and the entire aesthetic of the film is visually gross and it feels like they just focused on making this a self-insert artistic film for the director and they didn't care about what audience would think about it.",45
3,4,3.0,6.0,karim530,2023-06-16,"I don't know where to start with this movie. I expected more from this movie but I was let down. Don't get me wrong, the sweet elements were there especially from the God Father story in the beginning but then it becomes a classic cookie cutter Rom-Com movie with nothing new. Even my eight year old got bored from the first half. The story does improves by the second half but again, I feel PIXAR has lost its magic. I feel that PIXAR is more now about quantity versus quality story telling. The movie had too much visual but lacked to hit home with the story. By the end, my daughter and I were glad the movie was over.",52
4,5,1.0,1.0,kidkamandi,2023-06-18,No comment,53
5,6,1.0,1.0,pvandaele,2023-06-19,No comment,25
6,7,3.0,6.0,annathedehn,2023-06-16,"Elemental is a movie that just doesn't stick out. Pixar made this one a unoriginal story of opposites attacting and families and community not wanting them together. Not much was stuff hadn't seen before. One of the things that did stick out to me was the animation. Nothing mind boggling but it is one of recent Pixar's best work visual wise. I loved how vivid everything was and the elements driving movements. This movie also made laugh multiple times, which for me is pretty good. Some of those laughs however might have just been cope with the cringe, which this movie has a lot of. Some of the movements that characters make in this movie made my face sickle up. This movie entertained me for a bit, just barely though. You could watch better things in your time but if you really want then this movie would be enough to fill a boring night.",30
7,8,4.0,7.0,ajacayen-08856,2023-06-15,"Alongside the release of The Flash, I have never been anticipated to watch a movie in theaters again. And with Elemental, it has proven to give me a great time watching it and has, in a way, revived my love for Pixar films.Ember Lumen was easily the best part of the film because of her struggles in controlling her temper. Her inner conflict between chasing your dreams vs. Family has been a repetitive theme shown in Disney classics but this one hits home for me. Even if my parents were not immigrants, I was able to connect with where she and her family are coming from.For a while, Wade Ripple was an annoying character because of him being a soft guy and crying too much - but that's what also made me like him a lot after watching it. Also, he delivers such romantic lines to Ember that did make me feel kilig at those moments.Speaking of kilig, their romance, while at first did not sit well with me on how they sparked, their pairing was so cute and adorable that it's hard for me to not ship them. And in that relationship, Ember learns a lot about trying things out first and understanding people's differences to reach on a common ground which I thought was pulled off really great.In addition to understanding differences, I loved how they featured the sides of fire and water in order to see how the two families of both Ember and Wade react to their romance - and it was also very relatable for those showing their loved one to the family.Of course, the animation should be talked about because what Pixar has done was absolutely great. With how fire, water, air and wind was animated to such perfection, it is without a doubt deserved to be nominated for Best Animated Feature - even if it's not as amazing as Across the Spider-Verse.As for the story, the first act sets up a lot things very quickly which may need second viewing to get used to it. As it progressed towards the second act, Ember's relationship with both her family and Wade was easily the best part. And how the film wrapped up in its final act, while cheesy, I felt for Wade and Ember's relationship by the end and made me feel great watching it.Overall, it felt great watching Elemental and it is indeed one of those movies that if it comes out on Disney+, I am definitely going to check it out. But I still encourage animation lovers to watch this on the big screen because it's the better experience to enjoy this film.",31
8,9,1.0,2.0,Spamtasticus,2023-06-18,"This is the very first Pixar movie I don't like. I have liked or loved every single one they have released and Brave is my daughter's all time favorite movie from any studio. This movie does not have any of the magic and inventiveness that all other productions have had. We found ourselves mildly entertained and for the first time ever, my daughter went with me to buy something at the concession instead of vehemently staying to not miss a single second of the story. Lasseter might have been lecherous but at least that guy knew how to make good products. Whomever they have in charge of development at Pixar needs to step up their game as Steve Jobs is currently leering at them from the clouds.",20
9,10,2.0,3.0,Father_RIPs,2023-06-20,"Elemental is bad, it's as simple as that. There were a few key issues that are easy to pinpoint, but overall the reason this failed is much more abstract. I think the main issue is that Pixar got in way over their heads. They had this story idea but no real means to animate it, so once they figured out a way to animate it (using 151,000 computer cores), they then had to work around the confines of this massive animation project. And by all means, you can tell this was an issue; cutaways and transitions are awful throughout, and you can tell that the script is majorly rushed to get past this factor; It seemed lazy. Not one character takes a breath in this film before moving on to the next rushed, poorly-written line. Scene after scene with no real meaning and every story element (pun intended) that was supposed to elicit some type of emotional response was given to you in an unsolicited flashback that made no sense. And this created some cringeworthy backstory scenes and dialogue that came out of nowhere. It was quite possibly one of the worst films I have seen in a long time, and it's more heartbreaking that it came from Pixar.Now to be fair to what they've done here, the animation is beautiful, they created a really good-looking animated film, but there was no time to appreciate it due to quick cuts and pointless filler scenes. Once again, Disney and Pixar prioritized the wrong things, taking away from this beautiful feat of animation to create a sloppy pointless story.The voice acting was also sub-par, to say the least. Most of it was average and doesn't make you think twice, except for Ember (Leah Lewis), who really shined, seeming to give real emotion in her lines despite the awful writing. But Wade (Mamoudou Athie) is a different story. His voice was heartless, in my opinion. And again, this may be the script's fault more than the voice acting since Wade was such a boring character who wasn't given a name until halfway through the film (which is insane to think about). We were given a few glimpses of Wade's emotional backstory that could have potentially had some importance to the story, but then the credits roll, and you feel the same way about him at the end as you did in the beginning. He was annoying, and his arc was flatter than the voice acting given for him.I didn't go into this film thinking it was going to be good, but I thought it could be fun. I was proven wrong in a big way. Overall the only redeeming part is its animation which is overshadowed by its story issues. It's worth a watch for the animation alone, but should not be glorified for any other aspect of it (which seems to be what many are doing.",8
